order_id,customer_id,order_status,order_date,items_total,payments_total
6808d92d02c7f9b169e83f402c98ddcf,8f2dbc1fcadb8bb144df2202bdc7aa9c,delivered,"2018-08-23 23:15:26",28.20,1.00
7fff8403a17cbabb03a5b81050a51012,e4d4219c900e77c92de2e2abf68d7501,delivered,"2018-08-23 23:13:51",37.47,1.00
051d564ccb0a1e50070ac26704a2ba72,d5dbbec5196cc5d81fff118925e2bc5d,delivered,"2018-08-23 23:05:07",622.86,10.00
5e119c2064983e3218e5a34c5b54b2a3,f074977c5816f58f6178ba9a212d4d73,delivered,"2018-08-23 23:04:04",95.78,9.00
441972a5bbd51a10459a487402076942,b79fa9dfed0c3d624b70fbd0ca2469de,delivered,"2018-08-23 22:37:44",74.51,5.00
f0dd4c57ab7f24c4d9e52674ef3c887e,4a293f5fca6868a2c0d69e89494dafb7,delivered,"2018-08-23 22:29:15",155.98,3.00
16ec508e18e1d4949fb54daf2539f7bd,6c8f7799a68b43732bd676927474b28a,delivered,"2018-08-23 21:50:04",109.33,8.00
0fc95c806aba2b8aef43db06838ec606,2e9ae3e10bcfcc16fe0eedc2ac5f9f6a,delivered,"2018-08-23 21:49:33",2187.42,10.00
cb3fd1d04f967b6c2d2fbb8f50970c8f,3afd74519364069b1d7ef9ddeac50d6b,delivered,"2018-08-23 21:46:53",78.12,1.00
edfdcf6318cb5f0d1adb6da5c0998e6e,8831fea70c573fc056de9a71bd15a88c,delivered,"2018-08-23 21:45:16",31.69,3.00
ac1a1d01dcd4350d31887f6eab3f63d5,2f97782bbc64b71cba9e79d12757479b,delivered,"2018-08-23 21:43:41",35.65,1.00
ef5884d6401ac5bac05aadff9f2aae89,f4042a82b25cc987d5f56c4828af5d10,delivered,"2018-08-23 21:39:21",74.89,2.00
caca64f71d73695719939294fa88c791,b4805fe9c617cfaa509d98d2c365495c,delivered,"2018-08-23 21:25:26",371.42,1.00
7c89d1b99dac4362bf2513afd0b14edd,a48acf545fc196fe1a22e67ba443504e,delivered,"2018-08-23 21:20:25",132.92,1.00
4436546aaa7d7c56c61aa5ee6785eec9,16359095b72f56e8541b1206ebc4c9ab,delivered,"2018-08-23 21:19:11",22.29,1.00
cfbf0360f6ea9dfe49992b49018f6ceb,d20bc6c62112b142b4644ae1420c97aa,delivered,"2018-08-23 21:18:01",167.26,1.00
63f96415deb3a304ecad661aca59761b,2e8ef8c092d86cccf757dd9133e8dad2,delivered,"2018-08-23 21:15:11",161.79,1.00
44879a8f19c5e8a5e9278477b29a29ea,a3e5a7458a61e94c06131898e1b75449,delivered,"2018-08-23 20:56:41",38.23,1.00
4599031af27f0cc484a02ada76c68ca2,991a3891199a240b585e2d194403b768,delivered,"2018-08-23 20:49:24",320.76,16.00
c73bbcd64afe483b00a38c3d28c1c66a,b1d6214581f610ab4327d4471d90e574,delivered,"2018-08-23 20:38:24",119.79,2.00
4154bf1348caac78152fe76e3e9c4af8,90ce0548c953a250526eac9fbc2c2951,delivered,"2018-08-23 20:34:07",165.26,3.00
1be202b145a6722b8e2b08f60b288994,5c41ba9c90e008cd79328fd5fca8e502,delivered,"2018-08-23 20:27:42",55.18,4.00
80260d682079b6090c8285b398c50d97,c4d8e89a0bcb492c465bd502fb31f951,delivered,"2018-08-23 20:21:35",36.19,1.00
3ace6f2805072fe7b4512a1e3d11217b,83aec5c557978975ccf546bfd82eaf45,delivered,"2018-08-23 20:08:15",99.16,1.00
28e5c316b9b1b1902c094ab90ea33ffd,976adb38de58c8851a9e7858a56ae18a,delivered,"2018-08-23 19:57:47",147.62,1.00
964267c31e3140c22ce0eb459a4cfb72,3f935515a6dcad83cb626a199b5f7981,delivered,"2018-08-23 19:57:18",197.95,2.00
f6c9fe3ff737f5568e352b5b2afcf112,b354952c4607431ab98d03af79f6d967,delivered,"2018-08-23 19:28:09",32.72,1.00
c5aedf9da65864ebff200366da7fb389,e85177c58c794ec58a8b0cde1f3fa50c,delivered,"2018-08-23 19:26:39",142.89,1.00
d44bd377d793dc513e7cc2bdcd42488c,0346ede17045f279840b35cecd360d14,delivered,"2018-08-23 19:18:28",87.81,1.00
ceebdce96388304b96726edf9115e1f3,391d2acf2981defd7dd6eb8d1f66aa36,delivered,"2018-08-23 19:14:36",62.17,1.00
ec3f1d110d6cf6a87602ad54a075f04b,3f33cd9a014cc74c243f89efa2ef3ec6,delivered,"2018-08-23 19:09:34",73.66,2.00
da7e4fe598c5bcd3fb94f8f32456a6a3,248ba3fc89dc032bfabfe8a552ce8781,delivered,"2018-08-23 19:03:09",235.06,15.00
3789ddab12c667292dc0513fa0f0ff9d,89852ab64bf9b9174cb414b674306159,delivered,"2018-08-23 19:02:12",236.86,1.00
e3ce941c85b5ae1ae2862a7344cbb845,d4497f33b4918074382d13f3999924cd,delivered,"2018-08-23 18:27:44",63.43,5.00
a4725f98a7344d345bb2fab1c3c39c54,4a751dfba6004c315eaf88abf0ff249c,delivered,"2018-08-23 18:19:17",560.77,10.00
f33f70dad90fd2f5811dbc1d2a46849d,8887509a58adbf58c980f239ef92dabf,delivered,"2018-08-23 18:10:17",92.21,7.00
a97fd57e9692389b794fd4c3a328f68f,aadd0bcb192e7beb0eba93b2adc144d3,delivered,"2018-08-23 18:06:57",118.98,10.00
4516e24f7d61e13033494fd6252e5c29,dd4d918501319301699fe6e22694c590,delivered,"2018-08-23 17:38:27",64.35,2.00
4db79af544c8c9da4ef543192ec3179c,63fed2da86c0786cbc166968a5e6abbd,delivered,"2018-08-23 17:29:25",83.00,2.00
1c20a41a4a868fe36f6a5caa0a2abb2f,b3ae360749eac8fe9388ca0ce8f27d4f,delivered,"2018-08-23 17:25:50",39.12,1.00
8cdd96554616b2466ae2bd275781ef0f,49c8292f2dee77af4b38126194d34622,delivered,"2018-08-23 17:25:48",40.48,1.00
2ae01dafe3790417726f148d9f1a90a4,43552e5bc02e24bd04469456c6a9c2b5,delivered,"2018-08-23 17:22:42",122.97,1.00
2fd573eea535b447eea60a9b4aa2603d,f94bd0795b4e39a9250f516c56ee4309,delivered,"2018-08-23 17:22:26",243.51,3.00
2c08af91c0b50d5d87fd30ecb5cc0e31,d037533ae7cef4ebcda6155993afd958,delivered,"2018-08-23 17:19:57",66.68,3.00
9e9b1a4e3c37db666652ee2ce50e0700,d9823acef9aa0b55e9ba57c2b759ae82,delivered,"2018-08-23 17:19:01",84.44,1.00
ab086c339b4c94681a4758724c5ceecc,e274a4472f8b3ceac646447f71d3afce,delivered,"2018-08-23 17:09:58",87.52,8.00
c8bedae351d76a3163c9840172c1285f,586982bc4d41d9fa769c7ee3e7907b7b,delivered,"2018-08-23 17:04:55",37.37,1.00
243f2d7445f9dd0abd4542bb61385f51,75f63f0c91f311a86444d9f5c49e3579,delivered,"2018-08-23 17:02:44",33.71,2.00
dcc391b80d70c66575fd8864b3ac56c3,7b94d40f0c7081bad6479daa01ef73f6,delivered,"2018-08-23 17:02:12",28.20,1.00
6a8becea75ddeafc9a476d5de46696a1,3051d9077213c59aa7c02b834b88c343,delivered,"2018-08-23 17:00:23",355.05,3.00
8bc56c2bd5d8abe887ee0e3ec84a5c66,2ad23c1ae8b1bd75624c1c1874f1fd6f,delivered,"2018-08-23 16:52:37",67.25,2.00
668b19356f27bf9a854053836ced5053,97a0771636cd3ecff4b7cce15b71df5a,delivered,"2018-08-23 16:38:38",72.15,1.00
f71db65486473af693cb9575b5b77acb,01d581c1d75cd6e7a5315b20589b9944,delivered,"2018-08-23 16:23:02",20.38,1.00
69d3ec6fc241c9d0bbf66377805976e7,c111db6a4bc630eb729c18347fadedf6,delivered,"2018-08-23 16:04:48",150.92,1.00
70f814478ea3019fff8677f0aca6a54b,adad0c56d848f4034c2cb989a6139c98,delivered,"2018-08-23 15:58:16",69.06,1.00
8c3ef96e828b5894ec632ba10985867d,5cc1b597806534b1fd8814a7a9d85230,delivered,"2018-08-23 15:50:07",158.74,3.00
ddea733ed0db4b498f7719f648b89a5b,a8f04af129a5fbb2634d57eb7213dd75,delivered,"2018-08-23 15:48:24",121.90,2.00
430e723584294b481e1cfb980b10df3a,82754e9037879ee7d90e1facb88fbc86,delivered,"2018-08-23 15:45:16",188.89,2.00
788d6da30a84d084503d9e25fa8cee57,cdf8cdb2942f8f85dbd0449b7e66798b,delivered,"2018-08-23 15:35:52",95.76,1.00
14896b78d03e4c9b80d6b32f73b2fb0d,0bc0850d0f0f4d17c5faac1f564e2a7c,delivered,"2018-08-23 15:16:01",113.76,1.00
47c9d32bd98650fdc85ae2f486f60ed9,807e915d9c33af274ecae4f7810038a3,delivered,"2018-08-23 15:11:59",86.28,1.00
e1f58cebd92cdac4b6f7f9a3814a0fb0,abb37d6f51a26c40c7efadaf71763547,delivered,"2018-08-23 14:59:37",68.05,2.00
1342ab50383d7471a3bfd75ca93d38d6,a31f3b93bfe2d5bd18745603e3e537c5,delivered,"2018-08-23 14:56:46",67.17,1.00
e382242987ad58b7b31cabfa549b2cf4,db9854636bcddf1f6a5b1bc3f1133c52,delivered,"2018-08-23 14:56:03",70.07,4.00
0097aafe2a01dd54e39888976160c377,6e6943d8c4822ead782b17d532e6ee63,delivered,"2018-08-23 14:41:37",70.59,1.00
076d0f6917a8b9325bd7de62ef6c8c73,593284b430f85ce2c670f5aa67bd5464,delivered,"2018-08-23 14:33:11",118.88,2.00
2ee3ac9eae989dd8029015f1cb956021,3776a22e0579b156f6c7664e0a9b640d,delivered,"2018-08-23 14:21:50",751.17,6.00
7f01243bfbb619e73796571192245fce,bf2f941a497aa93ace6c2dc0b55984a7,delivered,"2018-08-23 14:14:37",103.93,7.00
04da4dc0ed95cc93f9f25375fa08ad47,e9fa18734cb99d218c0bee8e5b02ab5c,delivered,"2018-08-23 14:13:46",261.29,7.00
c6a4e191a2e0e802fd5006378e6b47bb,dbb265d79cf695065da3624264c7a93e,delivered,"2018-08-23 13:56:52",16.29,1.00
7085a588f3bd2d50f30fa90ef4265f3c,04370b820ba7c7a238a5862e04bea0f3,delivered,"2018-08-23 13:56:50",279.11,8.00
5370a96022220f889db213211b32740d,d57a120a63ef1c58d8704dbf52553318,delivered,"2018-08-23 13:48:07",195.61,1.00
9144181fd06902570ce9c34860652f55,00953228b409090c774d955f2ab881e5,delivered,"2018-08-23 13:46:00",118.35,5.00
f0ac9fdc189bce470ca4268f7dbb9037,69d7c0b90b4b01fae962b59e7d9bd2d1,delivered,"2018-08-23 13:38:17",87.58,3.00
d11ac1d30aa28bac52a87c61ac170cea,25917f573b745e578189257ef1f60fea,delivered,"2018-08-23 13:33:34",157.16,5.00
f8f0a2ea20c23215420ae3d9e7fa4f99,37b1fe42b5b139ba20bb3e514809ff6c,delivered,"2018-08-23 13:28:02",52.57,1.00
133a123493a55f389917093bd41fb184,d35a891df4b2a8cca3a334a3435ecaa5,delivered,"2018-08-23 13:23:25",35.85,1.00
4ceb6d05f749bbbb67e5606aa2d16647,5cdcc9524616ddb4388642e9fbfb796c,delivered,"2018-08-23 13:21:08",164.25,1.00
5d7c9ec4aa4d83e0b66b73e3ad2d7c06,c36e7cd497c538831ff5d1a3e5af5e47,delivered,"2018-08-23 13:19:20",126.94,5.00
bf2b54be17b7da2c70dc289ff2ee16a9,7343253df0d1cd6e627605ee32728ba1,delivered,"2018-08-23 13:05:40",127.08,2.00
fe4a285b8a60b67f05e9767412f5b93c,be46df4794953311371e51623e1a1835,delivered,"2018-08-23 12:56:27",129.35,3.00
bec3652605143e5f7e0265d993793eba,d1f3606bb1135de704d89880f90cc675,delivered,"2018-08-23 12:49:42",77.25,3.00
91bb03327725cc7058e5890bc6afda69,b68c49b9c29f5a6aa75b3c0cb741af32,delivered,"2018-08-23 12:47:56",175.33,4.00
0acc21fa1eb63678e12042b84f8f9d49,082d62ce77055d3e52dcd10c1e2ddd2d,delivered,"2018-08-23 12:32:01",60.38,2.00
9f7ba492c273ffac8f90a623b8eadd3b,c61336d6c835632048f973d2f2db598d,delivered,"2018-08-23 12:31:37",24.69,1.00
9797fc9d23d5187db0924184bc5cca44,1e9cb4f102332a9b99dc7d29d51c1962,delivered,"2018-08-23 12:30:52",113.10,1.00
e91651e27c97f458eb35e67d8cee206b,e1f0628e6af27a0bc119d2e597c619bb,delivered,"2018-08-23 12:08:51",36.45,1.00
494b56f3cd3d768dcc9451e48c8ee165,b61d34ab39dbf2f98da1823e2eeb7eca,delivered,"2018-08-23 12:04:18",35.13,1.00
892afc8152bfeddaa37facab6f4a9275,c77b56f255a88e2d52bf861c376bf8dd,delivered,"2018-08-23 12:00:18",22.29,1.00
21fbb7ffe47d9cc3a504f6ac4ee24c9a,4875ee0c667adc19c074d48b862bae0d,delivered,"2018-08-23 11:59:25",60.26,1.00
6a050dd1344ef1381e8be9a8d0565001,f811e0bf847dfb627a0ae3e6e89891f7,delivered,"2018-08-23 11:55:46",131.76,1.00
d139bb03af910e29eab280ed63bec613,ac0e954e97b91701a093a47c675c5700,delivered,"2018-08-23 11:50:26",73.44,1.00
eb07db9884e44e51d9f3f7e6ef2715d9,d742132fa21774454b21f5a511f05769,delivered,"2018-08-23 11:48:36",70.49,3.00
