customer_unique_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code
5af81692bef1371aed2ef226c8836f9c,61,1,6.00,1,1,1,111
40bc0c5f4ce6024f045e62c269a8645f,60,1,6.00,1,1,1,111
40b9180b6b4c971a61c283bb11c4905f,60,1,6.00,1,1,1,111
3d435b8da024ed08d2e43ecefdf46a9f,60,1,6.00,1,1,1,111
a89f132caa2e53e649d4e59d269fa8bf,60,1,6.00,1,1,1,111
fa2a54ebc9df126df892f33cb604e79a,46,1,6.00,1,1,1,111
7e7c1cf8c1a7ae4149f5a2fc2b1b65b4,46,1,6.00,1,1,1,111
38617bf4355f96ed474cacae71db2873,45,1,6.00,1,1,1,111
50d067af4bbd9a299e40a68f6ab31e50,45,1,6.00,1,1,1,111
4b349b23d13779e2b43625e1b661615b,45,1,6.00,1,1,1,111
abf227dc917e1dd81b8149735d755b65,45,1,6.00,1,1,1,111
a448ff454d6c6dae678669f12178fdb4,45,1,6.00,1,1,1,111
b239347d4d27f75a5d272929368ba243,45,1,6.00,1,1,1,111
7b09482951912a5fb582aa19d353cfe3,45,1,6.00,1,1,1,111
91570bb635619aacfcc8a0d4e4c6ab8e,30,1,6.00,1,1,1,111
ab1b1335445f91862e930d735591527a,30,1,6.00,1,1,1,111
a81c4ffcb6346edf550157d5a0a003c4,30,1,6.00,1,1,1,111
a6acaebfee00f4c666666c82c7508180,30,1,6.00,1,1,1,111
b9f0263ed58ccbb9222d26b7c34e7b80,30,1,6.00,1,1,1,111
a0cd1f3e0a9259b6dd8ec0ed4f63a63e,30,1,6.00,1,1,1,111
c24418a742a0d8fdf59827fd30d5e01e,30,1,6.00,1,1,1,111
c8c34db5088b1fb2682aa1a2c11914de,30,1,6.00,1,1,1,111
ea982877f1cc7c385f965955a3ec65fe,29,1,6.00,1,1,1,111
4aee996e01e1a5c4c1e2eb3f7ace9063,29,1,6.00,1,1,1,111
cdbe9e6dda65875d53fa13065d5a4ee9,29,1,6.00,1,1,1,111
13e39727a16c31cb2f91569351b31d13,29,1,6.00,1,1,1,111
0f4054aa9ac17890e078d931362ae93a,29,1,6.00,1,1,1,111
681e78b2bb4e86af70cb3b45adbe122a,29,1,6.00,1,1,1,111
7551f2efd4c2254a09a1bbf8f6f85e2e,29,1,6.00,1,1,1,111
6d742fbb67a43981bf79c0f6a24cae38,28,1,6.00,1,1,1,111
6d51a2478f601d2b0382d163a5a01958,28,1,6.00,1,1,1,111
7776df56786edf5e0f5cdb708d07ad97,28,1,6.00,1,1,1,111
98ea40824c7fd232e76771e9786aaa76,28,1,6.00,1,1,1,111
fde02dd7be2a3183e1e6690ec9e952f8,28,1,6.00,1,1,1,111
0b75b025a4a23ff449139199715f8960,28,1,6.00,1,1,1,111
19e9c460e75ea7654140c90e06bc9ae8,28,1,6.00,1,1,1,111
3d88eb9dbdae62a25db397df10cec4ec,28,1,6.00,1,1,1,111
50c331e195b1b8f694e1a20c147b0539,28,1,6.00,1,1,1,111
baa502f80485bad26d5243c762e4d511,28,1,6.00,1,1,1,111
d3504143c68ade90385518dd26d7ac05,28,1,6.00,1,1,1,111
c283a677fa9937143f13fe6f58fd901d,28,1,6.00,1,1,1,111
ceb66cc17afe15e697db5f8ba47c7182,27,1,6.00,1,1,1,111
c7ffd67556b0ce043baed501d4899bb8,27,1,6.00,1,1,1,111
c596a5d0ac41a4a51eee68f1a0fe7ecc,27,1,6.00,1,1,1,111
b31aa93dac6498f90336874e4d17f3d6,27,1,6.00,1,1,1,111
9155d337b80f0c2b73519b61ee0b6437,27,1,6.00,1,1,1,111
a984dc73180e58d6b3520c7e32dd33c9,27,1,6.00,1,1,1,111
79dbe8f7d2cd77fc463cfb663ab1375c,27,1,6.00,1,1,1,111
5ff3b50583f44ecf55b7e7f704ca97bd,27,1,6.00,1,1,1,111
800820dd5f33d2052854b4585fdbf01d,27,1,6.00,1,1,1,111
37d7a8654918a844ec0ce4b049cca9b0,27,1,6.00,1,1,1,111
3672d762029f6a1869ac18325abf4795,27,1,6.00,1,1,1,111
0056c2dd794a5eede6164dcae635875a,26,1,6.00,1,1,1,111
991f43020923fe70219ca5e44119ec16,26,1,6.00,1,1,1,111
ca81458af1cfd7972ee1dccc8853d4c0,26,1,6.00,1,1,1,111
f64252a555afb1b642c0bfda648ddff7,26,1,6.00,1,1,1,111
787e422f4ab02214e5312445d55ff22f,26,1,6.00,1,1,1,111
43c3369dad25da2107acd184075b0217,26,1,6.00,1,1,1,111
386484f7941e1d2632a2f1f5c597d65c,25,1,6.00,1,1,1,111
